,genus,line,kingdom,phylum,class,order,family
406,g__Aquicella,1119239.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Coxiellaceae
407,g__Vibrio,1931741.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Vibrionales, f__Vibrionaceae
408,g__Chloroflexus,1112231.0,k__Bacteria, p__Chloroflexi, c__Chloroflexi, o__Chloroflexales, f__Chloroflexaceae
409,g__Haererehalobacter,144207.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Halomonadaceae
410,g__Streptacidiphilus,100256.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptomycetaceae
411,g__LCP-26,130950.0,k__Bacteria, p__Caldithrix, c__Caldithrixae, o__Caldithrixales, f__Caldithrixaceae
412,g__Thiobacillus,588447.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Hydrogenophilales, f__Hydrogenophilaceae
413,g__Anaerovorax,742937.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Mogibacteriaceae]
414,g__Rubrobacter,4425841.0,k__Bacteria, p__Actinobacteria, c__Rubrobacteria, o__Rubrobacterales, f__Rubrobacteraceae
415,g__Halobacterium,133630.0,k__Archaea, p__Euryarchaeota, c__Halobacteria, o__Halobacteriales, f__Halobacteriaceae
416,g__Nocardia,702953.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardiaceae
417,g__Xylella,132943.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae
418,g__Trichococcus,525469.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Carnobacteriaceae
419,g__MSBL3,556103.0,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae
420,g__MB11C04,234608.0,k__Bacteria, p__Verrucomicrobia, c__Opitutae, o__Puniceicoccales, f__Puniceicoccaceae
421,g__Sodalis,801777.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae
422,g__Sulfuricurvum,169921.0,k__Bacteria, p__Proteobacteria, c__Epsilonproteobacteria, o__Campylobacterales, f__Helicobacteraceae
423,g__Aeromicrobium,12758.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae
424,g__Pelosinus,546268.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae
425,g__Iamia,532839.0,k__Bacteria, p__Actinobacteria, c__Acidimicrobiia, o__Acidimicrobiales, f__Iamiaceae
426,g__Flexispira,49735.0,k__Bacteria, p__Proteobacteria, c__Epsilonproteobacteria, o__Campylobacterales, f__Helicobacteraceae
427,g__Polaromonas,942142.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
428,g__Erythrobacter,179170.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Erythrobacteraceae
429,g__Natronincola_Anaerovirgula,570234.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
430,g__Arthrobacter,143636.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae
431,g__Desulfomicrobium,2874789.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfovibrionales, f__Desulfomicrobiaceae
432,g__Hydrogenophilus,828374.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
433,g__Methylocaldum,754584.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Methylococcaceae
434,g__Cyanobacterium,357897.0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Chroococcales, f__Cyanobacteriaceae
435,g__Anabaena,110591.0,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Nostocales, f__Nostocaceae
436,g__Bryobacter,245209.0,k__Bacteria, p__Acidobacteria, c__Solibacteres, o__Solibacterales, f__[Bryobacteraceae]
437,g__Nocardiopsis,669038.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardiopsaceae
438,g__Rhodobaca,3706881.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
439,g__Schwartzia,4093797.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae
440,g__Dietzia,581756.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Dietziaceae
441,g__Sporosarcina,614085.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Planococcaceae
442,g__Pseudoruegeria,278823.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
443,g__Halonotius,679066.0,k__Archaea, p__Euryarchaeota, c__Halobacteria, o__Halobacteriales, f__Halobacteriaceae
444,g__Saccharopolyspora,247530.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Pseudonocardiaceae
445,g__Anaeromyxobacter,263579.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Myxococcaceae
446,g__Lewinella,263575.0,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Saprospiraceae
447,g__Roseospira,1121874.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae
448,g__Anaerospora,648806.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
449,g__Bosea,156705.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Bradyrhizobiaceae
450,g__Allochromatium,2439887.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Chromatiales, f__Chromatiaceae
451,g__Opitutus,953724.0,k__Bacteria, p__Verrucomicrobia, c__Opitutae, o__Opitutales, f__Opitutaceae
452,g__Sedimentibacter,4335287.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Tissierellaceae]
453,g__Paenisporosarcina,140793.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Planococcaceae
454,g__Pontibacillus,744553.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae
455,g__Nostoc,277581.0,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Nostocales, f__Nostocaceae
456,g__Desulfotalea,128546.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfobacterales, f__Desulfobulbaceae
457,g__Acetobacter,4466878.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Acetobacteraceae
458,g__Rhodocytophaga,4326799.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae
459,g__Oxobacter,871135.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
460,g__Geothrix,655550.0,k__Bacteria, p__Acidobacteria, c__Holophagae, o__Holophagales, f__Holophagaceae
461,g__Candidatus Glomeribacter,702853.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Burkholderiaceae
462,g__Yaniella,1046193.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Yaniellaceae
463,g__Ethanoligenens,314629.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae
464,g__Azoarcus,202802.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
465,g__Methanocaldococcus,70924.0,k__Archaea, p__Euryarchaeota, c__Methanococci, o__Methanococcales, f__Methanocaldococcaceae
466,g__Muricauda,70926.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
467,g__Fervidobacterium,667572.0,k__Bacteria, p__Thermotogae, c__Thermotogae, o__Thermotogales, f__Thermotogaceae
468,g__Candidatus Endobugula,4418459.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
469,g__Borrelia,4319519.0,k__Bacteria, p__Spirochaetes, c__Spirochaetes, o__[Borreliales], f__[Borreliaceae]
470,g__Rubrivivax,213375.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
471,g__Moritella,96373.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Moritellaceae
472,g__Halogeometricum,201724.0,k__Archaea, p__Euryarchaeota, c__Halobacteria, o__Halobacteriales, f__Halobacteriaceae
473,g__Tindallia_Anoxynatronum,19154.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
474,g__Nitrospina,153392.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfobacterales, f__Nitrospinaceae
475,g__Xanthomonas,7862.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae
476,g__Rummeliibacillus,906051.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Planococcaceae
477,g__KSA1,331718.0,k__Bacteria, p__Bacteroidetes, c__[Rhodothermi], o__[Rhodothermales], f__[Balneolaceae]
478,g__Planktothrix,770906.0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Oscillatoriales, f__Phormidiaceae
479,g__Tetragenococcus,793649.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae
480,g__Dyadobacter,2922075.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae
481,g__Zymomonas,143774.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae
482,g__Verminephrobacter,330047.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
483,g__Salinimicrobium,277873.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
484,g__Frigoribacterium,253949.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
485,g__Desulfotomaculum_Desulfovirgula,261441.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Peptococcaceae
486,g__Enhydrobacter,1046701.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae
487,g__Thermus,27993.0,k__Bacteria, p__[Thermi], c__Deinococci, o__Thermales, f__Thermaceae
488,g__Cryomorpha,4332929.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae
489,g__Marinomonas,1835918.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Oceanospirillaceae
490,g__Yersinia,274754.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae
491,g__Nitrobacter,772177.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Bradyrhizobiaceae
492,g__Candidatus Phytoplasma,15674.0,k__Bacteria, p__Tenericutes, c__Mollicutes, o__Acholeplasmatales, f__Acholeplasmataceae
493,g__Candidatus Nitrososphaera,101424.0,k__Archaea, p__Crenarchaeota, c__Thaumarchaeota, o__Nitrososphaerales, f__Nitrososphaeraceae
494,g__Catonella,537921.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae
495,g__Sulfuritalea,1750075.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
496,g__Dok59,822582.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
497,g__Gillisia,4471718.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
498,g__Olleya,338486.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
499,g__Brachyspira,747930.0,k__Bacteria, p__Spirochaetes, c__[Brachyspirae], o__[Brachyspirales], f__Brachyspiraceae
500,g__Crocinitomix,812558.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Cryomorphaceae
501,g__Methylobacterium,524581.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Methylobacteriaceae
502,g__Snowella,146943.0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Chroococcales, f__Gomphosphaeriaceae
503,g__Kingella,942590.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Neisseriales, f__Neisseriaceae
504,g__Desulfovermiculus,623980.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfovibrionales, f__Desulfohalobiaceae
505,g__XKL75,786969.0,k__Archaea, p__Euryarchaeota, c__Halobacteria, o__Halobacteriales, f__Halobacteriaceae
506,g__Leadbetterella,786966.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae
507,g__C39,619826.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
508,g__Leptothrix,587796.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
509,g__Caldisphaera,4450275.0,k__Archaea, p__Crenarchaeota, c__Thermoprotei, o__Desulfurococcales, f__Desulfurococcaceae
510,g__Methanobacterium,84255.0,k__Archaea, p__Euryarchaeota, c__Methanobacteria, o__Methanobacteriales, f__Methanobacteriaceae
511,g__Rivularia,179503.0,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Stigonematales, f__Rivulariaceae
512,g__Desulfosarcina,321013.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfobacterales, f__Desulfobacteraceae
513,g__Roseivirga,823047.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Flammeovirgaceae
514,g__A17,515395.0,k__Bacteria, p__Planctomycetes, c__Planctomycetia, o__Pirellulales, f__Pirellulaceae
515,g__Ramlibacter,247143.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
516,g__Marinibacillus,4359065.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae
517,g__Mogibacterium,307485.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Mogibacteriaceae]
518,g__Mesorhizobium,806201.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Phyllobacteriaceae
519,g__Nitrincola,3599954.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Oceanospirillaceae
520,g__Proteiniclasticum,4404404.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
521,g__Alicyclobacillus,4324288.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Alicyclobacillaceae
522,g__Oleispira,4296356.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Oceanospirillaceae
523,g__Agrococcus,149643.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
524,g__Desulfomonile,4477226.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Syntrophobacterales, f__Syntrophaceae
525,g__Micrococcus,533329.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae
526,g__Luteococcus,550057.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Propionibacteriaceae
527,g__Prosthecobacter,4451561.0,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae
528,g__Prochlorothrix,219119.0,k__Bacteria, p__Cyanobacteria, c__Synechococcophycideae, o__Pseudanabaenales, f__Pseudanabaenaceae
529,g__Fibrobacteres-2,219116.0,k__Bacteria, p__Fibrobacteres, c__Fibrobacteria, o__Fibrobacterales, f__Fibrobacteraceae
530,g__Alkaliphilus,1142772.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
531,g__Prochlorococcus,233081.0,k__Bacteria, p__Cyanobacteria, c__Synechococcophycideae, o__Synechococcales, f__Synechococcaceae
532,g__Pelotomaculum,4175708.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Peptococcaceae
533,g__Xylanimicrobium,522285.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Promicromonosporaceae
534,g__Glaciecola,819336.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
535,g__Larkinella,561534.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__Cytophagaceae
536,g__Saccharothrix,4432338.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Actinosynnemataceae
537,g__Pimelobacter,822628.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae
538,g__Hyphomonas,5860.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Hyphomonadaceae
539,g__Leucothrix,553576.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Thiotrichaceae
540,g__Rheinheimera,576918.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__[Chromatiaceae]
541,g__Elusimicrobium,416001.0,k__Bacteria, p__Elusimicrobia, c__Elusimicrobia, o__Elusimicrobiales, f__Elusimicrobiaceae
542,g__Moorella,153109.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Thermoanaerobacterales, f__Thermoanaerobacteraceae
543,g__SGUS912,319315.0,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__[Amoebophilaceae]
544,g__Methanosaeta,3157755.0,k__Archaea, p__Euryarchaeota, c__Methanomicrobia, o__Methanosarcinales, f__Methanosaetaceae
545,g__Thermoanaerobacterium,4455222.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
546,g__Leptospirillum,4351323.0,k__Bacteria, p__Nitrospirae, c__Nitrospira, o__Nitrospirales, f__[Leptospirillaceae]
547,g__Desemzia,99629.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Carnobacteriaceae
548,g__Wolbachia,4296253.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Rickettsiaceae
549,g__Caldicellulosiruptor,16094.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Thermoanaerobacterales, f__Caldicellulosiruptoraceae
550,g__Desulfobacter,4442906.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfobacterales, f__Desulfobacteraceae
551,g__Acidaminobacter,4442907.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Acidaminobacteraceae]
552,g__WCHB1-84,31142.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Peptococcaceae
553,g__Sanguibacter,561435.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Sanguibacteraceae
554,g__vadinCA11,3626733.0,k__Archaea, p__Euryarchaeota, c__Thermoplasmata, o__E2, f__[Methanomassiliicoccaceae]
555,g__Candidatus Liberibacter,2867020.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae
556,g__HTCC2207,929471.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
557,g__DCE29,755567.0,k__Bacteria, p__Nitrospirae, c__Nitrospira, o__Nitrospirales, f__[Thermodesulfovibrionaceae]
558,g__Candidatus Xiphinematobacter,256945.0,k__Bacteria, p__Verrucomicrobia, c__[Spartobacteria], o__[Chthoniobacterales], f__[Chthoniobacteraceae]
559,g__Haloterrigena,1110009.0,k__Archaea, p__Euryarchaeota, c__Halobacteria, o__Halobacteriales, f__Halobacteriaceae
560,g__Promicromonospora,71309.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Promicromonosporaceae
561,g__Nautilia,566284.0,k__Bacteria, p__Proteobacteria, c__Epsilonproteobacteria, o__Nautiliales, f__Nautiliaceae
562,g__Petrotoga,834674.0,k__Bacteria, p__Thermotogae, c__Thermotogae, o__Thermotogales, f__Thermotogaceae
563,g__Aequorivita,828590.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Flavobacteriaceae
564,g__Ehrlichia,304700.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Anaplasmataceae
565,g__Eikenella,87506.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Neisseriales, f__Neisseriaceae
566,g__Armatimonas,4379705.0,k__Bacteria, p__Armatimonadetes, c__Armatimonadia, o__Armatimonadales, f__Armatimonadaceae
567,g__Oceanimonas,159003.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Aeromonadales, f__Aeromonadaceae
568,g__Desulfurella,45576.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfurellales, f__Desulfurellaceae
569,g__Lysinibacillus,14976.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Planococcaceae
570,g__Sulfurospirillum,543766.0,k__Bacteria, p__Proteobacteria, c__Epsilonproteobacteria, o__Campylobacterales, f__Campylobacteraceae
571,g__Desulfurispora,4309094.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Peptococcaceae
572,g__Catellatospora,145578.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micromonosporaceae
573,g__Dehalogenimonas,4356738.0,k__Bacteria, p__Chloroflexi, c__Dehalococcoidetes, o__Dehalococcoidales, f__Dehalococcoidaceae
574,g__ecb11,191385.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Tissierellaceae]
575,g__Marinobacterium,1143890.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Oceanospirillales, f__Oceanospirillaceae
576,g__Rhodothermus,2635.0,k__Bacteria, p__Bacteroidetes, c__[Rhodothermi], o__[Rhodothermales], f__Rhodothermaceae
577,g__Kosmotoga,1550344.0,k__Bacteria, p__Thermotogae, c__Thermotogae, o__Thermotogales, f__Thermotogaceae
578,g__Thermogymnomonas,808446.0,k__Archaea, p__Euryarchaeota, c__Thermoplasmata, o__Thermoplasmatales, f__Picrophilaceae
579,g__Halanaerobacter,567510.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Halanaerobiales, f__Halobacteroidaceae
580,g__Ferrimicrobium,253177.0,k__Bacteria, p__Actinobacteria, c__Acidimicrobiia, o__Acidimicrobiales, f__Acidimicrobiaceae
581,g__Persicirhabdus,4413930.0,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae
582,g__GW-34,3790137.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Tissierellaceae]
583,g__Sporotomaculum,1124174.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Peptococcaceae
584,g__Thiofaba,248099.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Chromatiales, f__Halothiobacillaceae
585,g__Psychromonas,133700.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Psychromonadaceae
586,g__Tatlockia,3836604.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Legionellaceae
587,g__Parvibaculum,557346.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Hyphomicrobiaceae
588,g__Azospira,1110798.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
589,g__Mycetocola,4440549.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
590,g__Hylemonella,1039014.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
591,g__Chondromyces,565046.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Polyangiaceae
592,g__Cellulomonas,844567.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Cellulomonadaceae
593,g__Caloranaerobacter,112091.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
594,g__Methylophaga,570128.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Thiotrichales, f__Piscirickettsiaceae
595,g__Asteroleplasma,738350.0,k__Bacteria, p__Tenericutes, c__Mollicutes, o__Anaeroplasmatales, f__Anaeroplasmataceae
596,g__Thermoanaerobacter,4405852.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Thermoanaerobacterales, f__Thermoanaerobacteraceae
597,g__Caldanaerobacter,4405850.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Thermoanaerobacterales, f__Thermoanaerobacteraceae
598,g__Ruminobacter,531299.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Aeromonadales, f__Succinivibrionaceae
599,g__Cloacibacterium,209472.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae]
600,g__Cohnella,1103391.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Paenibacillaceae
601,g__Herminiimonas,79901.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae
602,g__Haloferax,2300927.0,k__Archaea, p__Euryarchaeota, c__Halobacteria, o__Halobacteriales, f__Halobacteriaceae
603,g__Anaerobacillus,1037064.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae
604,g__Helcococcus,712917.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Tissierellaceae]
605,g__Phycicoccus,274566.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Intrasporangiaceae
606,g__Kyrpidia,344262.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Alicyclobacillaceae
607,g__Symploca,239727.0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Oscillatoriales, f__Phormidiaceae
608,g__Thermotoga,239729.0,k__Bacteria, p__Thermotogae, c__Thermotogae, o__Thermotogales, f__Thermotogaceae
609,g__Schlegelella,100284.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
