,genus,line,kingdom,phylum,class,order,family
257,g__Sphaerisporangium,1009254.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Streptosporangiaceae
258,g__Legionella,518474.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Legionellaceae
259,g__Cellvibrio,350896.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
260,g__L7A_E11,292451.0,k__Bacteria, p__Firmicutes, c__Erysipelotrichi, o__Erysipelotrichales, f__Erysipelotrichaceae
261,g__Rhodobacter,190782.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
262,g__Marichromatium,112951.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Chromatiales, f__Chromatiaceae
263,g__Crenothrix,4309578.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Methylococcales, f__Crenotrichaceae
264,g__Actinobaculum,4483755.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Actinomycetaceae
265,g__Blvii28,4314055.0,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae
266,g__Chryseobacterium,4282092.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae]
267,g__Sphingobacterium,1108035.0,k__Bacteria, p__Bacteroidetes, c__Sphingobacteriia, o__Sphingobacteriales, f__Sphingobacteriaceae
268,g__Lyngbya,587135.0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Oscillatoriales, f__Oscillatoriaceae
269,g__Skermanella,1136701.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae
270,g__B-42,828183.0,k__Bacteria, p__[Thermi], c__Deinococci, o__Deinococcales, f__Trueperaceae
271,g__Afifella,1136207.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhodobiaceae
272,g__Gallionella,1105544.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Gallionellales, f__Gallionellaceae
273,g__Sediminibacterium,748462.0,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae
274,g__Candidatus Blochmannia,3428172.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae
